date,open,high,low,close,volume,amount
2024-01-04,367.4100036621094,369.3699951171875,363.4100036621094,363.67999267578125,4142800,1506653473.6572266
2024-01-05,364.8299865722656,366.29998779296875,364.19000244140625,365.5899963378906,2965200,1084047457.1411133
2024-01-08,366.010009765625,368.29998779296875,364.20001220703125,368.17999267578125,3445700,1268637800.7629395
2024-01-09,368.0,368.0,364.7699890136719,366.8999938964844,2998800,1100259701.6967773
2024-01-10,366.260009765625,368.8299865722656,365.75,367.9200134277344,2448100,900704984.8724365
2024-01-11,367.80999755859375,367.8900146484375,362.1300048828125,363.3399963378906,3577800,1299957838.897705
2024-01-12,366.510009765625,366.8500061035156,362.57000732421875,363.6199951171875,2623100,953811609.1918945
2024-01-16,362.94000244140625,363.6000061035156,359.8900146484375,361.1000061035156,3046500,1100091168.5943604
2024-01-17,359.010009765625,362.5299987792969,357.9800109863281,359.2900085449219,2550300,916297308.7921143
2024-01-18,359.25,362.6400146484375,358.29998779296875,362.3800048828125,3007800,1089966578.6865234
2024-01-19,362.25,368.30999755859375,361.0199890136719,366.989990234375,4063700,1491337223.3154297
2024-01-22,368.04998779296875,369.2699890136719,366.5299987792969,368.05999755859375,3552500,1307533141.3269043
2024-01-23,368.0199890136719,372.4200134277344,367.7099914550781,372.1400146484375,2896300,1077829124.4262695
2024-01-24,372.5299987792969,377.7900085449219,372.0299987792969,376.5899963378906,4589300,1728284470.1934814
2024-01-25,379.239990234375,380.989990234375,377.8900146484375,380.8500061035156,4055800,1544651454.7546387
2024-01-26,381.04998779296875,385.7300109863281,380.0,385.3999938964844,3621400,1395687537.8967285
2024-01-29,385.489990234375,385.70001220703125,379.1700134277344,383.17999267578125,3797400,1455087704.1870117
2024-01-30,383.239990234375,387.6400146484375,380.0799865722656,387.1499938964844,3090900,1196641916.1346436
2024-01-31,386.5299987792969,387.9200134277344,383.54998779296875,383.739990234375,3856400,1479854898.3398438
2024-02-01,384.0,386.54998779296875,381.4800109863281,386.44000244140625,2947100,1138877331.1950684
2024-02-02,386.67999267578125,392.07000732421875,386.44000244140625,390.75,3806800,1487507100.0
2024-02-05,389.95001220703125,393.3699951171875,389.2900085449219,390.760009765625,3651900,1427016479.663086
2024-02-06,390.2900085449219,393.92999267578125,390.0,393.739990234375,2573400,1013250490.8691406
2024-02-07,394.6000061035156,399.1499938964844,394.3599853515625,397.6600036621094,3426800,1362701300.5493164
2024-02-08,397.2200012207031,398.6499938964844,394.8500061035156,397.489990234375,3357700,1334652140.209961
2024-02-09,397.30999755859375,398.3599853515625,395.82000732421875,398.3599853515625,2509800,999803891.2353516
2024-02-12,398.6499938964844,399.4800109863281,396.19000244140625,397.7099914550781,2817900,1120706984.9212646
2024-02-13,397.17999267578125,399.7099914550781,392.1000061035156,394.79998779296875,3458500,1365415757.7819824
2024-02-14,395.1499938964844,398.8599853515625,393.54998779296875,398.67999267578125,2669200,1064156636.4501953
2024-02-15,399.1400146484375,404.2699890136719,398.29998779296875,403.45001220703125,3076000,1241012237.5488281
2024-02-16,404.44000244140625,406.739990234375,402.5899963378906,405.989990234375,3532200,1434037843.5058594
2024-02-20,406.4700012207031,411.1099853515625,406.05999755859375,407.1499938964844,3530700,1437524483.4503174
2024-02-21,408.260009765625,409.4800109863281,406.70001220703125,409.25,2717600,1112177800.0
2024-02-22,411.29998779296875,416.260009765625,411.0,415.1600036621094,3687600,1530944029.5043945
2024-02-23,417.67999267578125,420.55999755859375,416.5199890136719,417.2200012207031,4015600,1675388636.9018555
2024-02-26,422.0,430.0,408.8500061035156,409.1400146484375,7432300,3040851330.871582
2024-02-27,409.2099914550781,409.9599914550781,401.7099914550781,408.9100036621094,4609100,1884707097.8790283
2024-02-28,408.5,414.6700134277344,407.7099914550781,412.1400146484375,4067400,1676338295.5810547
2024-02-29,413.1000061035156,413.7900085449219,408.3800048828125,409.3999938964844,4845200,1983624850.427246
2024-03-01,409.4800109863281,410.3900146484375,405.45001220703125,407.1099853515625,3282100,1336175682.9223633
2024-03-04,405.0,405.95001220703125,401.42999267578125,403.3900146484375,4179400,1685928227.2216797
2024-03-05,402.54998779296875,403.3299865722656,398.7799987792969,400.739990234375,4711700,1888166611.9873047
2024-03-06,402.17999267578125,407.44000244140625,401.70001220703125,403.9599914550781,3839100,1550842803.1951904
2024-03-07,406.1099853515625,406.3999938964844,399.57000732421875,402.3900146484375,4181300,1682513368.2495117
2024-03-08,401.0799865722656,403.3599853515625,400.010009765625,403.1499938964844,3410600,1374983369.1833496
2024-03-11,403.29998779296875,405.010009765625,402.739990234375,404.760009765625,2431700,984254915.7470703
2024-03-12,406.7799987792969,407.20001220703125,404.1000061035156,404.9800109863281,2616700,1059711194.7479248
2024-03-13,405.29998779296875,409.0,404.1499938964844,408.1300048828125,3584600,1462982815.5029297
2024-03-14,409.0799865722656,409.0799865722656,403.3399963378906,406.7300109863281,3734700,1519014572.0306396
2024-03-15,404.2699890136719,408.4599914550781,402.5,408.1300048828125,7548800,3080891780.859375
2024-03-18,408.70001220703125,410.6000061035156,406.0,408.4100036621094,3775700,1542033650.8270264
2024-03-19,409.0799865722656,412.19000244140625,408.0899963378906,411.760009765625,2795800,1151198635.3027344
2024-03-20,412.0199890136719,416.30999755859375,411.54998779296875,416.1099853515625,2932900,1220408976.0375977
2024-03-21,416.70001220703125,417.8299865722656,413.510009765625,413.7799987792969,3401600,1407514043.8476562
2024-03-22,413.0,414.3500061035156,411.3999938964844,411.6000061035156,2999600,1234635378.3081055
2024-03-25,410.6700134277344,411.07000732421875,408.9200134277344,409.9200134277344,2804200,1149497701.6540527
2024-03-26,410.0,412.6600036621094,408.6000061035156,411.57000732421875,2935100,1207999128.4973145
2024-03-27,413.6499938964844,417.2099914550781,413.3999938964844,416.92999267578125,2926000,1219937158.569336
2024-03-28,417.79998779296875,421.44000244140625,415.8500061035156,420.5199890136719,4377400,1840784199.9084473
2024-04-01,421.489990234375,421.6600036621094,417.80999755859375,420.20001220703125,2716100,1141305253.1555176
2024-04-02,419.75,421.010009765625,418.0899963378906,418.9200134277344,3174900,1330029150.6317139
2024-04-03,419.0,421.9100036621094,418.5199890136719,420.239990234375,2740800,1151793765.234375
2024-04-04,423.8399963378906,424.5199890136719,414.54998779296875,415.32000732421875,3800600,1578465219.8364258
2024-04-05,416.55999755859375,419.2699890136719,415.4100036621094,418.6199951171875,2738300,1146307132.6293945
2024-04-08,418.32000732421875,418.57000732421875,415.6300048828125,415.9700012207031,2485700,1033976632.0343018
2024-04-09,416.5799865722656,417.32000732421875,412.1199951171875,414.69000244140625,2233100,926044244.4519043
2024-04-10,412.739990234375,413.55999755859375,407.5299987792969,409.1099853515625,3121300,1276954997.277832
2024-04-11,408.3999938964844,411.1499938964844,404.04998779296875,407.6099853515625,2889900,1177952096.6674805
2024-04-12,405.0,407.2099914550781,401.44000244140625,403.260009765625,3467300,1398223431.8603516
2024-04-15,406.989990234375,409.05999755859375,399.8599853515625,400.260009765625,3002300,1201700627.319336
2024-04-16,400.9700012207031,401.25,396.5,396.9200134277344,3435500,1363618706.1309814
2024-04-17,398.94000244140625,399.2799987792969,395.6600036621094,397.739990234375,2465600,980667719.921875
2024-04-18,399.70001220703125,402.989990234375,399.1000061035156,399.8900146484375,2669500,1067506394.1040039
2024-04-19,401.0400085449219,405.57000732421875,400.1700134277344,405.0799865722656,3996100,1618740134.3414307
2024-04-22,406.8399963378906,411.3500061035156,406.25,408.7799987792969,2980600,1218409664.3615723
2024-04-23,410.25,410.7200012207031,405.6400146484375,408.739990234375,2287600,935033601.6601562
2024-04-24,407.1000061035156,407.6199951171875,403.8800048828125,405.95001220703125,2506900,1017676085.6018066
2024-04-25,404.8500061035156,406.1400146484375,400.3500061035156,404.9100036621094,2670200,1081190691.7785645
2024-04-26,403.9200134277344,404.75,401.4100036621094,402.1000061035156,3023100,1215588528.451538
2024-04-29,402.6600036621094,404.8699951171875,400.0799865722656,400.9599914550781,2363600,947709035.8032227
2024-04-30,400.5799865722656,400.6000061035156,396.3699951171875,396.7300109863281,3070500,1218159498.7335205
2024-05-01,396.6099853515625,402.32000732421875,396.3500061035156,398.5799865722656,2605000,1038300865.020752
2024-05-02,401.0,401.55999755859375,397.8800048828125,400.6000061035156,2672200,1070483336.3098145
2024-05-03,404.5,404.5,399.2099914550781,400.8699951171875,4119100,1651223596.887207
2024-05-06,403.9599914550781,405.1499938964844,399.260009765625,404.9200134277344,3918900,1586841040.6219482
2024-05-07,406.92999267578125,407.260009765625,403.6099853515625,406.1400146484375,3084200,1252617033.178711
2024-05-08,406.4700012207031,407.2300109863281,403.75,406.3699951171875,2398100,974515885.2905273
2024-05-09,406.25,408.8699951171875,405.4599914550781,408.82000732421875,2356600,963425229.2602539
2024-05-10,409.8500061035156,412.3800048828125,409.20001220703125,412.04998779296875,3084500,1270968187.347412
2024-05-13,414.05999755859375,414.29998779296875,410.19000244140625,411.2200012207031,2710300,1114529569.3084717
2024-05-14,410.45001220703125,411.55999755859375,408.1700134277344,410.239990234375,2672400,1096325349.9023438
2024-05-15,410.510009765625,413.3999938964844,410.1000061035156,412.760009765625,2854600,1178264723.8769531
2024-05-16,413.79998779296875,416.3399963378906,412.9100036621094,413.1199951171875,3549700,1466452046.6674805
2024-05-17,413.9800109863281,417.3299865722656,413.70001220703125,416.94000244140625,2988700,1246108585.2966309
2024-05-20,417.0400085449219,417.2799987792969,412.6199951171875,413.0,3287900,1357902700.0
2024-05-21,413.5899963378906,415.70001220703125,412.55999755859375,414.3699951171875,2731900,1132017389.6606445
2024-05-22,414.95001220703125,417.260009765625,412.9599914550781,413.989990234375,2664400,1103034929.9804688
2024-05-23,413.25,413.25,404.8699951171875,405.8800048828125,3392300,1376866740.5639648
2024-05-24,406.8999938964844,407.9599914550781,405.5,407.4100036621094,2067700,842401664.5721436
2024-05-28,408.239990234375,408.239990234375,401.8699951171875,403.8999938964844,3315400,1339090039.7644043
2024-05-29,403.0,405.8699951171875,401.5799865722656,404.0899963378906,3426800,1384735599.4506836
